date,slight,serious,total_casualties
2020-12-28,29,8,37
2020-12-29,24,5,29
2020-12-30,42,3,45
2020-12-31,56,8,64
2021-01-01,27,6,33
2021-01-02,42,4,46
2021-01-03,27,7,34
2021-01-04,23,9,32
2021-01-05,37,7,44
2021-01-06,46,4,50
2021-01-07,43,8,51
2021-01-08,49,12,61
2021-01-09,61,10,71
2021-01-10,30,3,33
2021-01-11,31,2,33
2021-01-12,28,3,31
2021-01-13,34,2,36
2021-01-14,57,7,64
2021-01-15,41,3,44
2021-01-16,32,3,35
2021-01-17,31,5,36
2021-01-18,26,5,31
2021-01-19,25,3,28
2021-01-20,44,8,52
2021-01-21,43,7,50
2021-01-22,68,11,79
2021-01-23,52,6,58
2021-01-24,24,2,26
2021-01-25,39,4,43
2021-01-26,45,8,53
2021-01-27,43,7,50
2021-01-28,41,5,46
2021-01-29,41,5,46
2021-01-30,48,6,54
2021-01-31,39,5,44
2021-02-01,45,7,52
2021-02-02,44,4,48
2021-02-03,30,4,34
2021-02-04,48,6,54
2021-02-05,64,8,72
2021-02-06,46,7,53
2021-02-07,31,4,35
2021-02-08,29,2,31
2021-02-09,23,3,26
2021-02-10,41,7,48
2021-02-11,38,6,44
2021-02-12,43,2,45
2021-02-13,50,3,53
2021-02-14,31,3,34
2021-02-15,56,2,58
2021-02-16,33,2,35
2021-02-17,51,4,55
2021-02-18,40,4,44
2021-02-19,55,3,58
2021-02-20,44,6,50
2021-02-21,37,6,43
2021-02-22,41,5,46
2021-02-23,49,16,65
2021-02-24,40,8,48
2021-02-25,36,5,41
2021-02-26,75,12,87
2021-02-27,48,14,62
2021-02-28,32,4,36
2021-03-01,32,6,38
2021-03-02,38,5,43
2021-03-03,41,5,46
2021-03-04,42,0,42
2021-03-05,54,11,65
2021-03-06,54,7,61
2021-03-07,33,12,45
2021-03-08,50,12,62
2021-03-09,63,8,71
2021-03-10,84,9,93
2021-03-11,46,8,54
2021-03-12,72,12,84
2021-03-13,58,3,61
2021-03-14,39,9,48
2021-03-15,58,8,66
2021-03-16,29,5,34
2021-03-17,52,8,60
2021-03-18,58,8,66
2021-03-19,72,14,86
2021-03-20,31,5,36
2021-03-21,52,4,56
2021-03-22,51,8,59
2021-03-23,57,8,65
2021-03-24,47,9,56
2021-03-25,59,8,67
2021-03-26,59,8,67
2021-03-27,40,8,48
2021-03-28,38,7,45
2021-03-29,48,15,63
2021-03-30,89,11,100
2021-03-31,60,10,70
2021-04-01,91,7,98
2021-04-02,46,7,53
2021-04-03,47,8,55
2021-04-04,51,20,71
2021-04-05,45,6,51
2021-04-06,59,4,63
2021-04-07,47,13,60
2021-04-08,57,6,63
2021-04-09,72,8,80
2021-04-10,54,7,61
2021-04-11,37,8,45
2021-04-12,49,11,60
2021-04-13,57,9,66
2021-04-14,59,6,65
2021-04-15,79,9,88
2021-04-16,83,18,101
2021-04-17,59,13,72
2021-04-18,52,8,60
2021-04-19,57,10,67
2021-04-20,70,14,84
2021-04-21,78,13,91
2021-04-22,76,9,85
2021-04-23,92,9,101
2021-04-24,80,10,90
2021-04-25,55,7,62
2021-04-26,80,13,93
2021-04-27,59,16,75
2021-04-28,66,10,76
2021-04-29,82,13,95
2021-04-30,117,12,129
2021-05-01,66,11,77
2021-05-02,72,7,79
2021-05-03,60,9,69
2021-05-04,71,6,77
2021-05-05,82,11,93
2021-05-06,73,11,84
2021-05-07,85,8,93
2021-05-08,42,4,46
2021-05-09,37,9,46
2021-05-10,68,10,78
2021-05-11,77,8,85
2021-05-12,69,9,78
2021-05-13,95,12,107
2021-05-14,68,13,81
2021-05-15,56,9,65
2021-05-16,58,8,66
2021-05-17,73,13,86
2021-05-18,67,8,75
2021-05-19,71,11,82
2021-05-20,87,8,95
2021-05-21,101,15,116
2021-05-22,90,5,95
2021-05-23,44,8,52
2021-05-24,68,10,78
2021-05-25,62,9,71
2021-05-26,61,9,70
2021-05-27,72,10,82
2021-05-28,108,12,120
2021-05-29,78,15,93
2021-05-30,62,7,69
2021-05-31,78,14,92
2021-06-01,81,19,100
2021-06-02,91,10,101
2021-06-03,85,10,95
2021-06-04,90,14,104
2021-06-05,65,10,75
2021-06-06,45,12,57
2021-06-07,50,10,60
2021-06-08,83,16,99
2021-06-09,82,23,105
2021-06-10,74,15,89
2021-06-11,98,10,108
2021-06-12,80,20,100
2021-06-13,82,9,91
2021-06-14,84,14,98
2021-06-15,81,12,93
2021-06-16,79,13,92
2021-06-17,88,10,98
2021-06-18,74,10,84
2021-06-19,47,4,51
2021-06-20,57,8,65
2021-06-21,53,9,62
2021-06-22,85,10,95
2021-06-23,71,11,82
2021-06-24,85,11,96
2021-06-25,87,13,100
2021-06-26,76,18,94
2021-06-27,62,12,74
2021-06-28,62,10,72
2021-06-29,61,12,73
2021-06-30,59,10,69
2021-07-01,79,11,90
2021-07-02,99,14,113
2021-07-03,72,9,81
2021-07-04,60,8,68
2021-07-05,80,12,92
2021-07-06,80,10,90
2021-07-07,73,9,82
2021-07-08,59,7,66
2021-07-09,75,12,87
2021-07-10,70,13,83
2021-07-11,62,6,68
2021-07-12,79,12,91
2021-07-13,96,15,111
2021-07-14,58,14,72
2021-07-15,64,15,79
2021-07-16,100,22,122
2021-07-17,63,16,79
2021-07-18,69,12,81
2021-07-19,62,5,67
2021-07-20,71,10,81
2021-07-21,58,11,69
2021-07-22,80,16,96
2021-07-23,86,6,92
2021-07-24,62,9,71
2021-07-25,47,7,54
2021-07-26,49,8,57
2021-07-27,65,10,75
2021-07-28,58,8,66
2021-07-29,74,14,88
2021-07-30,61,9,70
2021-07-31,67,13,80
2021-08-01,52,8,60
2021-08-02,63,3,66
2021-08-03,73,14,87
2021-08-04,77,8,85
2021-08-05,77,14,91
2021-08-06,48,11,59
2021-08-07,63,8,71
2021-08-08,49,7,56
2021-08-09,53,10,63
2021-08-10,68,8,76
2021-08-11,52,13,65
2021-08-12,63,11,74
2021-08-13,65,10,75
2021-08-14,73,13,86
2021-08-15,50,12,62
2021-08-16,76,10,86
2021-08-17,59,6,65
2021-08-18,58,14,72
2021-08-19,54,10,64
2021-08-20,67,8,75
2021-08-21,96,13,109
2021-08-22,58,3,61
2021-08-23,66,9,75
2021-08-24,41,11,52
2021-08-25,62,7,69
2021-08-26,58,8,66
2021-08-27,59,8,67
2021-08-28,76,8,84
2021-08-29,51,7,58
2021-08-30,59,6,65
2021-08-31,56,12,68
2021-09-01,54,16,70
2021-09-02,73,19,92
2021-09-03,79,9,88
2021-09-04,54,7,61
2021-09-05,82,8,90
2021-09-06,65,14,79
2021-09-07,65,20,85
2021-09-08,91,15,106
2021-09-09,84,7,91
2021-09-10,94,12,106
2021-09-11,86,11,97
2021-09-12,53,8,61
2021-09-13,63,11,74
2021-09-14,77,9,86
2021-09-15,76,7,83
2021-09-16,90,11,101
2021-09-17,97,22,119
2021-09-18,72,10,82
2021-09-19,47,6,53
2021-09-20,76,9,85
2021-09-21,77,7,84
2021-09-22,82,12,94
2021-09-23,96,12,108
2021-09-24,119,11,130
2021-09-25,95,18,113
2021-09-26,56,6,62
2021-09-27,77,8,85
2021-09-28,77,6,83
2021-09-29,81,13,94
2021-09-30,73,7,80
2021-10-01,96,11,107
2021-10-02,71,13,84
2021-10-03,80,7,87
2021-10-04,66,15,81
2021-10-05,61,8,69
2021-10-06,65,12,77
2021-10-07,67,15,82
2021-10-08,79,15,94
2021-10-09,78,3,81
2021-10-10,64,13,77
2021-10-11,58,8,66
2021-10-12,65,7,72
2021-10-13,74,13,87
2021-10-14,57,11,68
2021-10-15,87,10,97
2021-10-16,63,11,74
2021-10-17,66,9,75
2021-10-18,79,15,94
2021-10-19,74,8,82
2021-10-20,79,11,90
2021-10-21,72,7,79
2021-10-22,81,12,93
2021-10-23,89,4,93
2021-10-24,53,10,63
2021-10-25,52,11,63
2021-10-26,52,9,61
2021-10-27,78,7,85
2021-10-28,63,12,75
2021-10-29,85,17,102
2021-10-30,74,11,85
2021-10-31,80,14,94
2021-11-01,75,10,85
2021-11-02,83,17,100
2021-11-03,91,14,105
2021-11-04,80,13,93
2021-11-05,105,14,119
2021-11-06,72,15,87
2021-11-07,66,14,80
2021-11-08,66,13,79
2021-11-09,70,12,82
2021-11-10,89,13,102
2021-11-11,81,18,99
2021-11-12,93,9,102
2021-11-13,63,12,75
2021-11-14,62,7,69
2021-11-15,60,9,69
2021-11-16,84,12,96
2021-11-17,56,11,67
2021-11-18,78,9,87
2021-11-19,82,17,99
2021-11-20,49,12,61
2021-11-21,70,17,87
2021-11-22,80,6,86
2021-11-23,79,12,91
2021-11-24,64,14,78
2021-11-25,82,9,91
2021-11-26,77,25,102
2021-11-27,91,19,110
2021-11-28,66,4,70
2021-11-29,59,12,71
2021-11-30,86,13,99
2021-12-01,79,3,82
2021-12-02,90,7,97
2021-12-03,96,18,114
2021-12-04,79,12,91
2021-12-05,51,6,57
2021-12-06,76,10,86
2021-12-07,71,7,78
2021-12-08,64,12,76
2021-12-09,80,15,95
2021-12-10,56,6,62
2021-12-11,68,12,80
2021-12-12,56,11,67
2021-12-13,54,9,63
2021-12-14,51,9,60
2021-12-15,61,13,74
2021-12-16,58,6,64
2021-12-17,70,6,76
2021-12-18,50,12,62
2021-12-19,49,2,51
2021-12-20,46,9,55
2021-12-21,37,4,41
2021-12-22,64,6,70
2021-12-23,39,8,47
2021-12-24,76,12,88
2021-12-25,32,12,44
2021-12-26,38,7,45
2021-12-27,36,9,45
2021-12-28,31,3,34
2021-12-29,43,8,51
2021-12-30,34,3,37
2021-12-31,36,8,44
2022-01-01,46,11,57
2022-01-02,54,5,59
2022-01-03,38,5,43
2022-01-04,46,5,51
2022-01-05,69,10,79
2022-01-06,51,5,56
2022-01-07,63,7,70
2022-01-08,56,9,65
2022-01-09,55,7,62
2022-01-10,54,9,63
2022-01-11,56,8,64
2022-01-12,67,12,79
2022-01-13,80,16,96
2022-01-14,107,13,120
2022-01-15,58,6,64
2022-01-16,46,7,53
2022-01-17,73,13,86
2022-01-18,73,10,83
2022-01-19,51,8,59
2022-01-20,69,15,84
2022-01-21,73,7,80
2022-01-22,58,16,74
2022-01-23,56,4,60
2022-01-24,68,16,84
2022-01-25,50,11,61
2022-01-26,49,12,61
2022-01-27,90,8,98
2022-01-28,83,8,91
2022-01-29,88,7,95
2022-01-30,64,5,69
2022-01-31,59,15,74
2022-02-01,73,3,76
2022-02-02,56,10,66
2022-02-03,52,8,60
2022-02-04,61,11,72
2022-02-05,54,16,70
2022-02-06,55,13,68
2022-02-07,69,12,81
2022-02-08,44,9,53
2022-02-09,60,5,65
2022-02-10,65,11,76
2022-02-11,71,21,92
2022-02-12,62,6,68
2022-02-13,56,5,61
2022-02-14,64,6,70
2022-02-15,56,5,61
2022-02-16,60,3,63
2022-02-17,73,6,79
2022-02-18,34,4,38
2022-02-19,66,6,72
2022-02-20,43,5,48
2022-02-21,47,6,53
2022-02-22,42,7,49
2022-02-23,53,8,61
2022-02-24,65,9,74
2022-02-25,69,16,85
2022-02-26,88,11,99
2022-02-27,48,6,54
2022-02-28,65,9,74
2022-03-01,84,12,96
2022-03-02,68,9,77
2022-03-03,82,15,97
2022-03-04,78,9,87
2022-03-05,58,12,70
2022-03-06,57,7,64
2022-03-07,64,11,75
2022-03-08,67,6,73
2022-03-09,56,8,64
2022-03-10,55,14,69
2022-03-11,66,13,79
2022-03-12,70,15,85
2022-03-13,45,13,58
2022-03-14,45,12,57
2022-03-15,45,14,59
2022-03-16,80,11,91
2022-03-17,74,11,85
2022-03-18,85,8,93
2022-03-19,65,9,74
2022-03-20,54,7,61
2022-03-21,58,13,71
2022-03-22,62,13,75
2022-03-23,59,10,69
2022-03-24,61,15,76
2022-03-25,76,18,94
2022-03-26,82,15,97
2022-03-27,43,9,52
2022-03-28,47,8,55
2022-03-29,70,16,86
2022-03-30,61,13,74
2022-03-31,61,10,71
2022-04-01,65,13,78
2022-04-02,55,10,65
2022-04-03,49,4,53
2022-04-04,50,7,57
2022-04-05,55,10,65
2022-04-06,69,8,77
2022-04-07,59,8,67
2022-04-08,47,14,61
2022-04-09,63,9,72
2022-04-10,52,4,56
2022-04-11,45,10,55
2022-04-12,56,7,63
2022-04-13,47,7,54
2022-04-14,72,16,88
2022-04-15,54,6,60
2022-04-16,81,8,89
2022-04-17,36,9,45
2022-04-18,61,10,71
2022-04-19,62,8,70
2022-04-20,77,8,85
2022-04-21,60,20,80
2022-04-22,57,12,69
2022-04-23,63,6,69
2022-04-24,63,16,79
2022-04-25,58,8,66
2022-04-26,66,11,77
2022-04-27,48,9,57
2022-04-28,60,14,74
2022-04-29,57,14,71
2022-04-30,84,16,100
2022-05-01,65,17,82
2022-05-02,57,7,64
2022-05-03,56,8,64
2022-05-04,79,8,87
2022-05-05,77,15,92
2022-05-06,87,14,101
2022-05-07,54,7,61
2022-05-08,73,16,89
2022-05-09,60,12,72
2022-05-10,63,11,74
2022-05-11,85,10,95
2022-05-12,71,18,89
2022-05-13,80,14,94
2022-05-14,82,14,96
2022-05-15,42,9,51
2022-05-16,59,5,64
2022-05-17,82,15,97
2022-05-18,93,17,110
2022-05-19,58,13,71
2022-05-20,96,11,107
2022-05-21,56,9,65
2022-05-22,56,12,68
2022-05-23,63,8,71
2022-05-24,77,12,89
2022-05-25,58,8,66
2022-05-26,66,14,80
2022-05-27,88,10,98
2022-05-28,76,16,92
2022-05-29,58,8,66
2022-05-30,54,15,69
2022-05-31,71,10,81
2022-06-01,60,14,74
2022-06-02,52,9,61
2022-06-03,58,9,67
2022-06-04,68,12,80
2022-06-05,46,3,49
2022-06-06,73,7,80
2022-06-07,84,13,97
2022-06-08,78,5,83
2022-06-09,85,15,100
2022-06-10,89,17,106
2022-06-11,74,12,86
2022-06-12,45,9,54
2022-06-13,78,7,85
2022-06-14,80,12,92
2022-06-15,76,11,87
2022-06-16,83,12,95
2022-06-17,116,20,136
2022-06-18,50,13,63
2022-06-19,46,15,61
2022-06-20,80,8,88
2022-06-21,114,21,135
2022-06-22,93,18,111
2022-06-23,79,13,92
2022-06-24,89,11,100
2022-06-25,73,16,89
2022-06-26,70,9,79
2022-06-27,73,4,77
2022-06-28,69,10,79
2022-06-29,51,9,60
2022-06-30,70,9,79
2022-07-01,75,9,84
2022-07-02,71,13,84
2022-07-03,47,6,53
2022-07-04,60,9,69
2022-07-05,80,15,95
2022-07-06,59,13,72
2022-07-07,78,13,91
2022-07-08,88,11,99
2022-07-09,76,14,90
2022-07-10,63,11,74
2022-07-11,99,14,113
2022-07-12,62,14,76
2022-07-13,71,15,86
2022-07-14,83,11,94
2022-07-15,97,16,113
2022-07-16,77,18,95
2022-07-17,66,15,81
2022-07-18,70,10,80
2022-07-19,54,9,63
2022-07-20,56,8,64
2022-07-21,63,10,73
2022-07-22,52,11,63
2022-07-23,70,10,80
2022-07-24,61,11,72
2022-07-25,60,9,69
2022-07-26,54,10,64
2022-07-27,59,13,72
2022-07-28,42,10,52
2022-07-29,91,10,101
2022-07-30,57,9,66
2022-07-31,74,9,83
2022-08-01,54,11,65
2022-08-02,59,9,68
2022-08-03,60,9,69
2022-08-04,73,10,83
2022-08-05,77,11,88
2022-08-06,83,16,99
2022-08-07,42,9,51
2022-08-08,61,3,64
2022-08-09,73,15,88
2022-08-10,99,8,107
2022-08-11,70,16,86
2022-08-12,71,8,79
2022-08-13,68,13,81
2022-08-14,51,8,59
2022-08-15,60,8,68
2022-08-16,52,9,61
2022-08-17,57,8,65
2022-08-18,74,12,86
2022-08-19,85,16,101
2022-08-20,66,10,76
2022-08-21,62,11,73
2022-08-22,45,9,54
2022-08-23,49,11,60
2022-08-24,57,4,61
2022-08-25,60,8,68
2022-08-26,75,17,92
2022-08-27,69,13,82
2022-08-28,59,11,70
2022-08-29,44,9,53
2022-08-30,57,12,69
2022-08-31,71,17,88
2022-09-01,60,13,73
2022-09-02,65,10,75
2022-09-03,57,9,66
2022-09-04,40,13,53
2022-09-05,61,13,74
2022-09-06,53,7,60
2022-09-07,62,15,77
2022-09-08,68,8,76
2022-09-09,59,17,76
2022-09-10,73,15,88
2022-09-11,52,8,60
2022-09-12,54,9,63
2022-09-13,56,10,66
2022-09-14,56,7,63
2022-09-15,75,9,84
2022-09-16,80,16,96
2022-09-17,69,8,77
2022-09-18,48,7,55
2022-09-19,31,5,36
2022-09-20,79,9,88
2022-09-21,64,13,77
2022-09-22,78,12,90
2022-09-23,69,11,80
2022-09-24,55,10,65
2022-09-25,61,24,85
2022-09-26,59,7,66
2022-09-27,59,10,69
2022-09-28,50,14,64
2022-09-29,64,15,79
2022-09-30,68,10,78
2022-10-01,73,15,88
2022-10-02,52,8,60
2022-10-03,52,7,59
2022-10-04,69,10,79
2022-10-05,61,14,75
2022-10-06,76,21,97
2022-10-07,73,13,86
2022-10-08,77,15,92
2022-10-09,40,5,45
2022-10-10,72,15,87
2022-10-11,62,10,72
2022-10-12,51,7,58
2022-10-13,78,9,87
2022-10-14,66,8,74
2022-10-15,76,10,86
2022-10-16,51,10,61
2022-10-17,52,8,60
2022-10-18,76,10,86
2022-10-19,62,10,72
2022-10-20,62,8,70
2022-10-21,85,14,99
2022-10-22,67,13,80
2022-10-23,58,10,68
2022-10-24,61,10,71
2022-10-25,55,14,69
2022-10-26,72,7,79
2022-10-27,57,8,65
2022-10-28,69,14,83
2022-10-29,58,13,71
2022-10-30,60,9,69
2022-10-31,66,13,79
2022-11-01,57,12,69
2022-11-02,58,7,65
2022-11-03,73,11,84
2022-11-04,110,17,127
2022-11-05,48,13,61
2022-11-06,51,4,55
2022-11-07,78,10,88
2022-11-08,65,16,81
2022-11-09,90,19,109
2022-11-10,76,15,91
2022-11-11,68,10,78
2022-11-12,62,17,79
2022-11-13,51,12,63
2022-11-14,65,9,74
2022-11-15,70,16,86
2022-11-16,98,16,114
2022-11-17,82,4,86
2022-11-18,79,18,97
2022-11-19,57,7,64
2022-11-20,48,3,51
2022-11-21,57,15,72
2022-11-22,64,13,77
2022-11-23,65,11,76
2022-11-24,71,11,82
2022-11-25,79,15,94
2022-11-26,57,8,65
2022-11-27,53,6,59
2022-11-28,92,12,104
2022-11-29,60,12,72
2022-11-30,64,8,72
2022-12-01,55,16,71
2022-12-02,58,9,67
2022-12-03,58,8,66
2022-12-04,31,7,38
2022-12-05,66,9,75
2022-12-06,71,16,87
2022-12-07,59,8,67
2022-12-08,87,12,99
2022-12-09,69,8,77
2022-12-10,58,13,71
2022-12-11,54,11,65
2022-12-12,28,4,32
2022-12-13,41,9,50
2022-12-14,51,8,59
2022-12-15,66,11,77
2022-12-16,54,5,59
2022-12-17,35,6,41
2022-12-18,50,9,59
2022-12-19,46,5,51
2022-12-20,62,13,75
2022-12-21,63,8,71
2022-12-22,48,9,57
2022-12-23,59,7,66
2022-12-24,40,8,48
2022-12-25,27,9,36
2022-12-26,37,4,41
2022-12-27,48,5,53
2022-12-28,43,3,46
2022-12-29,41,2,43
2022-12-30,55,10,65
2022-12-31,32,11,43
